th,171
he,157
be,80
an,344
nd,182
of,32
in,537
to,129
ha,112
av,37
ve,254
it,261
at,414
fo,71
or,327
yo,13
ou,183
wi,55
on,528
do,49
sa,53
ay,52
hi,104
is,236
ey,20
bu,46
ut,100
we,56
fr,41
ro,211
om,148
no,79
ot,98
n',1
't,1
by,7
sh,121
as,169
wh,37
go,20
ei,29
ir,88
ca,167
ho,117
ge,127
et,131
if,47
wo,34
ul,85
ld,39
er,567
al,363
ll,171
my,9
ma,151
ak,34
ke,73
ab,75
bo,62
kn,12
ow,83
il,143
up,36
ne,195
ti,471
im,98
me,200
re,538
ye,17
ea,252
ar,318
so,94
nk,32
en,443
ic,243
ch,150
em,113
pe,159
eo,13
op,81
pl,94
le,302
ta,189
nt,372
ju,20
us,129
st,386
se,284
ee,103
ur,162
co,306
li,219
ik,18
ts,9
tw,12
mo,90
es,249
wa,56
lo,144
oo,76
ok,25
fi,84
rs,53
ls,6
ew,29
ec,165
au,35
da,52
ng,218
gi,53
iv,116
ny,21
el,211
nl,14
ly,203
os,84
te,433
ry,83
ev,69
ba,69
ac,164
ck,70
od,48
hr,22
ug,32
gh,72
fe,73
rk,35
wn,20
af,18
ft,23
rl,20
ov,58
sc,59
ol,131
tr,182
la,183
sk,18
ed,128
ig,98
mu,27
uc,52
fa,63
am,65
mi,123
pu,40
ep,68
tu,84
ud,26
de,262
hy,15
gr,73
bi,53
eg,54
un,143
lp,4
lk,10
rn,47
pr,181
ob,23
bl,94
rt,135
ht,44
Am,3
ri,249
pa,119
ag,76
ga,51
ai,120
ns,123
ce,218
su,116
ek,6
mp,94
sy,15
ys,13
og,37
ra,323
qu,52
ue,51
io,311
du,38
nm,6
ru,56
sm,24
nu,24
um,58
mb,29
ff,41
lw,2
ni,117
Mr,2
po,128
oi,19
ie,78
br,42
ap,80
pp,46
ex,93
xt,18
ef,51
rg,29
wr,8
na,115
ct,171
di,156
dy,21
jo,14
rd,54
si,214
ss,161
id,104
ki,30
ad,113
tt,50
tl,45
nc,152
vi,92
rv,32
aw,24
ci,99
ty,95
lm,10
cl,66
lu,48
mm,34
nf,28
rm,60
oc,61
ia,96
tc,20
yt,4
cr,73
ub,35
lr,3
sp,90
dd,19
lt,39
rc,36
gu,33
uy,3
ms,4
lf,16
oy,15
yb,3
cy,17
ua,54
hu,24
xp,30
ui,46
oh,4
cu,70
eh,14
ix,8
ah,4
gg,8
rh,4
ps,10
aj,3
eq,21
pm,3
lv,11
ib,41
dr,42
vo,33
cc,36
ip,49
rr,55
oa,29
va,54
fu,43
ax,5
pi,61
oj,3
je,13
ph,32
ws,3
hn,6
gy,9
yp,5
Re,1
iz,22
za,5
ze,26
gl,21
dm,10
sb,1
Co,1
fl,35
gn,30
nv,33
bj,6
rf,11
kl,6
tm,11
py,7
xa,6
pt,35
sw,16
fy,8
wt,1
ox,4
TV,1
rw,6
wy,1
PM,1
wl,6
dg,9
xe,7
nj,3
De,1
cs,9
yl,2
dl,21
uf,7
eb,16
az,7
zi,2
vy,1
xu,3
rp,19
xi,13
ya,5
tn,6
nn,27
sf,8
Se,1
hb,3
ky,4
bs,14
sl,36
Br,1
AM,1
oz,2
Af,2
Ch,5
So,1
Eu,2
Ms,1
wd,4
gt,4
bv,2
dv,11
hl,7
iq,4
Fr,2
yw,3
kg,1
oe,6
In,3
Un,1
sr,3
xc,16
tb,3
lc,6
Ru,2
rb,17
bt,5
Su,1
ks,4
ka,4
Ir,2
aq,1
qi,1
e-,3
-m,1
ym,12
mf,3
Ja,2
eu,4
Ca,3
g-,1
-t,6
zo,2
sn,5
En,2
Je,2
zy,1
Ge,2
ds,7
nw,2
gm,3
AI,1
ID,1
DS,1
ej,1
cq,2
mn,4
Is,4
ae,3
dh,1
Ar,2
Sp,1
lb,3
yc,5
Me,1
uo,3
ja,5
vs,1
dj,2
ln,2
yz,1
nh,4
As,1
kf,1
o-,2
-c,2
hd,4
nx,2
xh,4
CE,1
EO,1
La,1
Pa,2
hw,3
Mu,2
ao,2
It,1
yi,5
Ol,2
Bi,1
sq,4
ez,3
tf,3
DN,1
NA,1
dq,1
hm,6
gs,3
m-,1
-h,1
df,2
sd,2
vu,1
xy,3
OK,1
PC,1
pf,1
Go,1
bm,1
tg,1
iu,7
wf,1
yd,2
n-,1
-A,1
nq,1
yf,1
dn,1
T-,1
-s,1
Ro,1
Hi,1
Ko,1
dw,4
td,1
d/,1
/o,1
dc,3
bb,5
gf,1
ku,2
ml,1
np,3
yg,1
zz,3
db,1
uh,2
l-,3
nr,2
yn,3
Du,1
o',1
'c,1
Gr,1
tp,2
kr,1
Cu,1
xo,1
f-,1
-e,1
uz,1
zl,1
hq,1
kp,1
t-,1
-k,1
ko,1
Th,1
sg,1
gd,1
Pe,1
-b,1
h-,1
fw,1
ih,1
dp,1
wm,1
d-,1
-f,1
mt,1
pd,1
nz,1
uu,1
